,code,url,product_name,brands,carbon-footprint_100g,categories_tags,categories_en,countries_en,image_url,image_small_url,leaf_category_list,leaf_category
185939,3068320055008,http://world-en.openfoodfacts.org/product/3068320055008/evian-bottle-500ml,evian bottle 500ml,"Evian, Tesco",0,"en:beverages,en:waters,en:spring-waters,en:mineral-waters,en:non-alcoholic-beverages,en:natural-mineral-waters,en:unsweetened-beverages","Beverages,Waters,Spring waters,Mineral waters,Non-Alcoholic beverages,Natural mineral waters,Unsweetened beverages","Belgium,France,Luxembourg,Switzerland,United Kingdom",https://static.openfoodfacts.org/images/products/306/832/005/5008/front_fr.136.400.jpg,https://static.openfoodfacts.org/images/products/306/832/005/5008/front_fr.136.200.jpg,"['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters', 'en:unsweetened-beverages']",en:unsweetened-beverages
217500,3222471018798,http://world-en.openfoodfacts.org/product/3222471018798/sirop-de-fraise-casino,Sirop de Fraise,Casino,130,"en:beverages,en:syrups,en:flavoured-syrups,en:strawberry-syrups,en:sweetened-beverages","Beverages,Syrups,Flavoured syrups,Strawberry syrups,Sweetened beverages",France,https://static.openfoodfacts.org/images/products/322/247/101/8798/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/322/247/101/8798/front_fr.7.200.jpg,"['en:beverages', 'en:syrups', 'en:flavoured-syrups', 'en:strawberry-syrups', 'en:sweetened-beverages']",en:sweetened-beverages
217656,3222471101834,http://world-en.openfoodfacts.org/product/3222471101834/citronnade-sirop-de-citron-casino,Citronnade - Sirop de citron,Casino,140,"en:beverages,en:syrups,en:flavoured-syrups,en:lemon-syrups,en:sweetened-beverages,en:unsweetened-beverages,fr:citronnades","Beverages,Syrups,Flavoured syrups,Lemon syrups,Sweetened beverages,Unsweetened beverages,fr:Citronnades",France,https://static.openfoodfacts.org/images/products/322/247/110/1834/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/322/247/110/1834/front_fr.3.200.jpg,"['en:beverages', 'en:syrups', 'en:flavoured-syrups', 'en:lemon-syrups', 'en:sweetened-beverages', 'en:unsweetened-beverages', 'fr:citronnades']",en:unsweetened-beverages
217832,3222471363539,http://world-en.openfoodfacts.org/product/3222471363539/noir-extra-casino,Noir extra,Casino,180,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/322/247/136/3539/front_fr.28.400.jpg,https://static.openfoodfacts.org/images/products/322/247/136/3539/front_fr.28.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
217834,3222471363560,http://world-en.openfoodfacts.org/product/3222471363560/chocolat-noir-dessert-casino,Chocolat noir dessert,Casino,230,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/322/247/136/3560/front_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/322/247/136/3560/front_fr.22.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
217839,3222471363676,http://world-en.openfoodfacts.org/product/3222471363676/chocolat-au-lait-familial-3x100g-casino,Chocolat au lait familial 3x100g Casino,Casino,655,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:milk-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Milk chocolates",France,https://static.openfoodfacts.org/images/products/322/247/136/3676/front_fr.24.400.jpg,https://static.openfoodfacts.org/images/products/322/247/136/3676/front_fr.24.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:milk-chocolates']",en:milk-chocolates
219175,3222473460229,http://world-en.openfoodfacts.org/product/3222473460229/peche-abricot-a-l-eau-de-source-casino,Pêche Abricot à l'eau de source,Casino,50,"en:beverages,en:sweetened-beverages","Beverages,Sweetened beverages",France,https://static.openfoodfacts.org/images/products/322/247/346/0229/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/322/247/346/0229/front_fr.7.200.jpg,"['en:beverages', 'en:sweetened-beverages']",en:sweetened-beverages
219397,3222473937882,http://world-en.openfoodfacts.org/product/3222473937882/limonade-traditionnelle-arome-naturel-de-citron-citron-vert-casino-delices,Limonade traditionnelle - Arôme naturel de citron- citron vert,"Casino Délices,Casino",125,"en:beverages,en:carbonated-drinks,en:sodas,en:lemonade,en:sweetened-beverages","Beverages,Carbonated drinks,Sodas,Lemonade,Sweetened beverages",France,https://static.openfoodfacts.org/images/products/322/247/393/7882/front_fr.17.400.jpg,https://static.openfoodfacts.org/images/products/322/247/393/7882/front_fr.17.200.jpg,"['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:lemonade', 'en:sweetened-beverages']",en:sweetened-beverages
219532,3222474197193,http://world-en.openfoodfacts.org/product/3222474197193/sirop-d-orgeat-casino,Sirop d'orgeat,Casino,130,"en:beverages,en:syrups,en:flavoured-syrups,en:orgeat-syrups,en:unsweetened-beverages","Beverages,Syrups,Flavoured syrups,Orgeat syrups,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/322/247/419/7193/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/322/247/419/7193/front_fr.6.200.jpg,"['en:beverages', 'en:syrups', 'en:flavoured-syrups', 'en:orgeat-syrups', 'en:unsweetened-beverages']",en:unsweetened-beverages
249927,3256220892179,http://world-en.openfoodfacts.org/product/3256220892179/boisson-plate-aux-fruits-tropical-u,Boisson plate aux fruits tropical,U,5,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:sweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Sweetened beverages",France,https://static.openfoodfacts.org/images/products/325/622/089/2179/front_fr.50.400.jpg,https://static.openfoodfacts.org/images/products/325/622/089/2179/front_fr.50.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:sweetened-beverages']",en:sweetened-beverages
462726,3700214610015,http://world-en.openfoodfacts.org/product/3700214610015/noir-intense-degustation-alter-eco,Noir intense dégustation,Alter eco,160,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0015/front_fr.50.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0015/front_fr.50.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462727,3700214610022,http://world-en.openfoodfacts.org/product/3700214610022/lait-doux-fondant-alter-eco,Lait doux & fondant,Alter eco,273,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:milk-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Milk chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0022/front_fr.26.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0022/front_fr.26.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:milk-chocolates']",en:milk-chocolates
462738,3700214610176,http://world-en.openfoodfacts.org/product/3700214610176/the-earl-grey-bergamote-alter-eco,Thé Earl Grey bergamote,Alter Eco,766,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:herbal-teas,en:black-teas,en:flavored-teas,en:flavored-black-teas,en:teas-with-bergamot,en:bergamot-flavored-black-teas,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Herbal teas,Black teas,Flavored teas,Flavored black teas,Teas with bergamot,Bergamot flavored black teas,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0176/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0176/front_fr.7.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:black-teas', 'en:flavored-teas', 'en:flavored-black-teas', 'en:teas-with-bergamot', 'en:bergamot-flavored-black-teas', 'en:unsweetened-beverages']",en:unsweetened-beverages
462739,3700214610183,http://world-en.openfoodfacts.org/product/3700214610183/the-vert-ceylan-bio-alter-eco,Thé Vert Ceylan Bio Alter Eco,Alter Eco,775,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:green-teas,en:herbal-teas,en:unsweetened-beverages,fr:the-vert-de-ceylan","Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Green teas,Herbal teas,Unsweetened beverages,fr:the-vert-de-ceylan",France,https://static.openfoodfacts.org/images/products/370/021/461/0183/front_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0183/front_fr.18.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:herbal-teas', 'en:unsweetened-beverages', 'fr:the-vert-de-ceylan']",en:unsweetened-beverages
462740,3700214610190,http://world-en.openfoodfacts.org/product/3700214610190/tablette-chocolat-noir-dessert-alter-eco,Tablette chocolat Noir dessert,Alter eco,123,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0190/front_fr.28.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0190/front_fr.28.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462749,3700214610411,http://world-en.openfoodfacts.org/product/3700214610411/rooibos-nature-bio-equitable-alter-eco,Rooibos nature bio & équitable,Alter Eco,607,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:rooibos,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Herbal teas,Rooibos,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0411/front_fr.54.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0411/front_fr.54.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:rooibos', 'en:unsweetened-beverages']",en:unsweetened-beverages
462750,3700214610428,http://world-en.openfoodfacts.org/product/3700214610428/the-du-matin-alter-eco,Thé du matin,Alter Eco,540,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:teas,en:herbal-teas,en:black-teas,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Teas,Herbal teas,Black teas,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0428/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0428/front_fr.7.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:black-teas', 'en:unsweetened-beverages']",en:unsweetened-beverages
462755,3700214610534,http://world-en.openfoodfacts.org/product/3700214610534/chocolat-lait-classique-degustation-bio-alter-eco,Chocolat Lait classique dégustation Bio Alter Eco,Alter Eco,160,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:milk-chocolates","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Milk chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0534/front_fr.21.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0534/front_fr.21.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:milk-chocolates']",en:milk-chocolates
462759,3700214610817,http://world-en.openfoodfacts.org/product/3700214610817/chocolat-noir-doux-et-fondant-bio-et-equitable-alter-eco,Chocolat noir doux et fondant bio et équitable,Alter Eco,273,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",France,https://static.openfoodfacts.org/images/products/370/021/461/0817/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0817/front_fr.6.200.jpg,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",en:dark-chocolates
462760,3700214610923,http://world-en.openfoodfacts.org/product/3700214610923/rooibos-epices-alter-eco,Rooibos épices,Alter Eco,562,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:rooibos,en:unsweetened-beverages","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Herbal teas,Rooibos,Unsweetened beverages",France,https://static.openfoodfacts.org/images/products/370/021/461/0923/front_fr.35.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/0923/front_fr.35.200.jpg,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:rooibos', 'en:unsweetened-beverages']",en:unsweetened-beverages
